temporada,modalidad,ruta,actividad,categoria,asistencia,moneda,precio,vigencia_dias,fuente,url
2025-26,normal,Horcones,Ascenso,Mendocino,sin asistencia,ARS,140000,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones,Ascenso,Argentino/residente,sin asistencia,ARS,270000,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones,Ascenso,Latinoamericano,sin asistencia,USD,1270,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones,Ascenso,Extranjero,sin asistencia,USD,1640,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Vacas / 360,Ascenso,Mendocino,con asistencia,ARS,120000,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Vacas / 360,Ascenso,Argentino/residente,con asistencia,ARS,230000,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Vacas / 360,Ascenso,Latinoamericano,con asistencia,USD,1130,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Vacas / 360,Ascenso,Extranjero,con asistencia,USD,1450,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Vacas / 360,Ascenso,Mendocino,sin asistencia,ARS,170000,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Vacas / 360,Ascenso,Argentino/residente,sin asistencia,ARS,330000,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Vacas / 360,Ascenso,Latinoamericano,sin asistencia,USD,1580,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Vacas / 360,Ascenso,Extranjero,sin asistencia,USD,2000,20,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones,Trekking largo,Latinoamericano,con asistencia,USD,320,7,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones,Trekking largo,Extranjero,con asistencia,USD,380,7,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones,Trekking largo,Latinoamericano,sin asistencia,USD,450,7,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones,Trekking largo,Extranjero,sin asistencia,USD,540,7,Decreto 2322/2025 art. 5,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones / Matienzo,Trekking diario,Mendocino,sin acampe,ARS,15000,1,Decreto 2322/2025 art. 4,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones / Matienzo,Trekking diario,Argentino/residente,sin acampe,ARS,25000,1,Decreto 2322/2025 art. 4,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones / Matienzo,Trekking diario,Latinoamericano,sin acampe,ARS,45000,1,Decreto 2322/2025 art. 4,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,normal,Horcones / Matienzo,Trekking diario,Extranjero,sin acampe,ARS,55000,1,Decreto 2322/2025 art. 4,https://media.mendoza.gob.ar/informacion-oficial/uploads/sites/12/2025/10/DECRETO-No-2322-2025.pdf
2025-26,preventa (15 jul-29 ago 2025),Horcones,Ascenso,Latinoamericano,con asistencia,USD,760,20,Prensa Gobierno de Mendoza jul 2025,https://www.mendoza.gov.ar/prensa/ya-esta-habilitada-la-venta-anticipada-de-permisos-para-la-temporada-2025-2026-del-parque-provincial-aconcagua/
2025-26,preventa (15 jul-29 ago 2025),Horcones,Ascenso,Internacional,con asistencia,USD,980,20,Prensa Gobierno de Mendoza jul 2025,https://www.mendoza.gov.ar/prensa/ya-esta-habilitada-la-venta-anticipada-de-permisos-para-la-temporada-2025-2026-del-parque-provincial-aconcagua/
2025-26,preventa (15 jul-29 ago 2025),Vacas / 360,Ascenso,Latinoamericano,con asistencia,USD,940,20,Prensa Gobierno de Mendoza jul 2025,https://www.mendoza.gov.ar/prensa/ya-esta-habilitada-la-venta-anticipada-de-permisos-para-la-temporada-2025-2026-del-parque-provincial-aconcagua/
2025-26,preventa (15 jul-29 ago 2025),Vacas / 360,Ascenso,Internacional,con asistencia,USD,1200,20,Prensa Gobierno de Mendoza jul 2025,https://www.mendoza.gov.ar/prensa/ya-esta-habilitada-la-venta-anticipada-de-permisos-para-la-temporada-2025-2026-del-parque-provincial-aconcagua/
