categoria,item,cantidad_por_persona,compartido,donde_va,peso_aprox_g_unidad,como_conseguir,obligatorio_o_clave,notas
Campamento,Encendedores (3) y fósforos en bolsa,1,sí,mochila,60,tener,sí,
Campamento,Bolsa grande para juntar nieve / pala plástica chica,1,sí,mula,200,tener,opcional,
Campamento,"Taza térmica con tapa, plato hondo, cuchara larga",1,no,mula,250,tener,sí,Cuchara larga para comer desde bolsas de liofilizado
Campamento,Cortaplumas,1,sí,mochila,80,tener,sí,
Agua,Botellas de 1 L boca ancha (tipo Nalgene),2,no,mochila,180,tener,sí,Las bolsas de hidratación se congelan
Agua,Fundas térmicas para botellas,2,no,mula,100,tener,clave,El neopreno no alcanza
Agua,Termo de acero de 1 L,1,no,mula,450,tener,sí,Día de cumbre
Agua,Pastillas o gotas potabilizadoras (para todo el viaje),1,no,mochila,50,comprar,sí,Tratar siempre el agua de nieve y lagunas
Agua,"Botella para orinar de 1-1,5 L (marcada)",1,no,mula,150,tener,sí,
Mochilas y bolsos,Mochila de expedición 70-90 L,1,no,cuerpo,2000,tener,sí,Para mudanzas entre campamentos altos
Mochilas y bolsos,Mochila de aproximación / cumbre 30-40 L,1,no,mula,800,tener,recomendado,
Mochilas y bolsos,Bolso duffel de 120-150 L resistente (mulas),1,no,mula,1500,tener,sí,Máx. ~30 kg por lado de mula
Mochilas y bolsos,Bolsas estancas y 2-3 bolsas de basura gruesas,1,no,mula,300,tener,sí,Proteger ropa y saco; también para porteos
Electrónica,Linterna frontal (≥200 lúmenes) + pilas de repuesto de litio,1,no,mochila,150,tener,sí,
Electrónica,Radio VHF portátil (frecuencia de la Patrulla 142.800),1,sí,mochila,250,arrendar con la empresa,clave,La forma más rápida de pedir ayuda en la ruta normal
Electrónica,Comunicador satelital (inReach o similar),1,sí,mochila,120,tener o arrendar,recomendado,No hay señal de celular en el parque
Electrónica,Batería externa 20.000 mAh y cables,1,no,mula,400,tener,clave,El frío descarga las baterías: dormir con ellas
Electrónica,Celular con mapa offline y track de la ruta,1,no,cuerpo,200,tener,clave,
Salud e higiene,Botiquín personal (ver página de salud),1,no,mochila,400,armar,sí,Medicamentos de altura solo con indicación médica
Salud e higiene,Protector solar FPS 50 y protector labial FPS 30+,1,no,mochila,200,comprar,sí,Radiación muy alta
Salud e higiene,"Papel higiénico, alcohol gel, toallitas húmedas",1,no,mochila,300,comprar,sí,
Salud e higiene,"Cepillo, pasta, toalla de secado rápido",1,no,mula,250,tener,clave,
Salud e higiene,Tapones para los oídos,1,no,mula,10,comprar,recomendado,Noches de viento
Salud e higiene,Calentadores químicos de manos y pies,3,no,mula,60,comprar,recomendado,Los de pies funcionan con poco oxígeno
